Sr No,Name,Symbol,Date,Day,DDay,Month,Year,High,Low,Open,Close,Volume,Marketcap
2811,Tether,USDT,9/14/2018,14,14-Sep,Sep,2018,1.01941,0.988274,0.998975,1.00236,2804570000,2762926891
2812,Tether,USDT,9/15/2018,15,15-Sep,Sep,2018,1.00925,0.993745,1.00694,1.00086,2112840000,2758792258
2813,Tether,USDT,9/16/2018,16,16-Sep,Sep,2018,1.01407,0.995185,1.00439,1.00096,2103110000,2759067900
2814,Tether,USDT,9/17/2018,17,17-Sep,Sep,2018,1.01177,0.995283,0.999014,1.00411,2854420000,2767750629
2815,Tether,USDT,9/18/2018,18,18-Sep,Sep,2018,1.0078,0.980623,1.0078,1.00225,2687350000,2762623685
2816,Tether,USDT,9/19/2018,19,19-Sep,Sep,2018,1.01216,0.96457,1.00619,1.00069,2635660000,2758323667
2817,Tether,USDT,9/20/2018,20,20-Sep,Sep,2018,1.00642,0.990492,0.999453,1.00154,2689090000,2760666625
2818,Tether,USDT,9/21/2018,21,21-Sep,Sep,2018,1.01796,0.975145,0.998697,0.994428,5090540000,2790784354
2819,Tether,USDT,9/22/2018,22,22-Sep,Sep,2018,1.0156,0.982721,0.992045,1.00092,3352660000,2809003644
2820,Tether,USDT,9/23/2018,23,23-Sep,Sep,2018,1.00975,0.992725,0.996163,0.999512,2804770000,2805052202
2821,Tether,USDT,9/24/2018,24,24-Sep,Sep,2018,1.0131,0.994282,0.999409,1.00063,2852810000,2808189781
2822,Tether,USDT,9/25/2018,25,25-Sep,Sep,2018,1.0114,0.99306,1.00536,1.00044,3572280000,2807656561
2823,Tether,USDT,9/26/2018,26,26-Sep,Sep,2018,1.00995,0.990897,1.00224,1.00213,3380990000,2812399414
2824,Tether,USDT,9/27/2018,27,27-Sep,Sep,2018,1.0086,0.977865,1.00129,0.997107,3408680000,2798302758
2825,Tether,USDT,9/28/2018,28,28-Sep,Sep,2018,1.0135,0.988149,0.994787,1.00142,3447280000,2810406854
2826,Tether,USDT,9/29/2018,29,29-Sep,Sep,2018,1.00625,0.990836,1.0023,0.999602,3249000000,2805304780
2827,Tether,USDT,9/30/2018,30,30-Sep,Sep,2018,1.00765,0.991041,1.00152,1.00036,3307320000,2807432047
2828,Tether,USDT,10/1/2018,1,1-Oct,Oct,2018,1.00919,0.993728,0.996818,0.997925,3069480000,2800598411
2829,Tether,USDT,10/2/2018,2,2-Oct,Oct,2018,1.0047,0.993995,0.99538,0.999741,2818190000,2805694872
2830,Tether,USDT,10/3/2018,3,3-Oct,Oct,2018,1.00907,0.991395,1.00387,0.998569,2812780000,2802405746
2831,Tether,USDT,10/4/2018,4,4-Oct,Oct,2018,1.00306,0.988396,0.99834,0.996185,2374680000,2795715237
2832,Tether,USDT,10/5/2018,5,5-Oct,Oct,2018,1.00321,0.989995,0.996195,0.995778,2330830000,2794573023
2833,Tether,USDT,10/6/2018,6,6-Oct,Oct,2018,1.00423,0.995775,0.996503,0.997177,2238520000,2798499207
2834,Tether,USDT,10/7/2018,7,7-Oct,Oct,2018,1.00375,0.992553,0.997938,0.996617,2187670000,2796927611
2835,Tether,USDT,10/8/2018,8,8-Oct,Oct,2018,1.00011,0.990055,0.996229,0.995814,2594100000,2794674054
2836,Tether,USDT,10/9/2018,9,9-Oct,Oct,2018,0.999826,0.991899,0.996374,0.996779,2183500000,2697704351
2837,Tether,USDT,10/10/2018,10,10-Oct,Oct,2018,1.00183,0.990803,0.995332,0.993502,2295300000,2688835407
2838,Tether,USDT,10/11/2018,11,11-Oct,Oct,2018,1.01755,0.987252,0.992934,0.993026,3772600000,2687547150
2839,Tether,USDT,10/12/2018,12,12-Oct,Oct,2018,0.998704,0.98367,0.998704,0.994102,2962380000,2690459260
2840,Tether,USDT,10/13/2018,13,13-Oct,Oct,2018,0.995455,0.98494,0.995036,0.988046,1961540000,2674069170
2841,Tether,USDT,10/14/2018,14,14-Oct,Oct,2018,0.995905,0.984209,0.987869,0.98957,2008170000,2480279757
2842,Tether,USDT,10/15/2018,15,15-Oct,Oct,2018,0.993084,0.925284,0.993084,0.980138,5891700000,2456639187
2843,Tether,USDT,10/16/2018,16,16-Oct,Oct,2018,0.985358,0.969406,0.979243,0.975152,2585550000,2200354168
2844,Tether,USDT,10/17/2018,17,17-Oct,Oct,2018,0.97869,0.966323,0.977078,0.971225,2569210000,2142931950
2845,Tether,USDT,10/18/2018,18,18-Oct,Oct,2018,0.985084,0.967321,0.972522,0.980858,2485030000,2085717771
2846,Tether,USDT,10/19/2018,19,19-Oct,Oct,2018,0.989284,0.978021,0.981291,0.987712,2322570000,2050906665
2847,Tether,USDT,10/20/2018,20,20-Oct,Oct,2018,0.990877,0.977601,0.988241,0.983831,2094040000,2042848073
2848,Tether,USDT,10/21/2018,21,21-Oct,Oct,2018,0.988854,0.974997,0.984348,0.983548,2188330000,2042260445
2849,Tether,USDT,10/22/2018,22,22-Oct,Oct,2018,0.99521,0.976333,0.985726,0.983998,2213350000,2043194835
2850,Tether,USDT,10/23/2018,23,23-Oct,Oct,2018,0.990374,0.982528,0.984913,0.987962,2111740000,2002027671
2851,Tether,USDT,10/24/2018,24,24-Oct,Oct,2018,0.988612,0.982466,0.986011,0.988612,1781560000,2003344845
2852,Tether,USDT,10/25/2018,25,25-Oct,Oct,2018,0.99149,0.984888,0.990443,0.988791,1677800000,1904828474
2853,Tether,USDT,10/26/2018,26,26-Oct,Oct,2018,0.990475,0.981313,0.988571,0.989789,1881270000,1906751043
2854,Tether,USDT,10/27/2018,27,27-Oct,Oct,2018,0.997335,0.987005,0.987778,0.993097,1671750000,1913123646
2855,Tether,USDT,10/28/2018,28,28-Oct,Oct,2018,0.998892,0.991548,0.995223,0.998453,1729890000,1923441561
2856,Tether,USDT,10/29/2018,29,29-Oct,Oct,2018,1.00551,0.991676,0.996364,0.996859,2296810000,1920370845
